assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCF_001308285.1,PRJNA224116,SAMN03982146,,representative genome,1587,1587,Lactobacillus helveticus,strain=CAUH18,,latest,Complete Genome,Major,Full,42285,ASM130828v1,China Agricultural University,GCA_001308285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/285/GCF_001308285.1_ASM130828v1,,
GCF_001702095.1,PRJNA224116,SAMN05417796,,na,1587,1587,Lactobacillus helveticus,strain=D76,,latest,Complete Genome,Major,Full,42592,ASM170209v1,State Research Institute of Highly Pure Biopreparations,GCA_001702095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/702/095/GCF_001702095.1_ASM170209v1,,
GCF_001746265.1,PRJNA224116,SAMN05417795,,na,1587,1587,Lactobacillus helveticus,strain=D75,,latest,Complete Genome,Major,Full,42807,ASM174626v2,State Research Institute of Highly Pure Biopreparations,GCA_001746265.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/265/GCF_001746265.1_ASM174626v2,,
GCF_002211885.1,PRJNA224116,SAMN07267280,,na,1589,1589,Lactobacillus pentosus,strain=SLC13,,latest,Complete Genome,Major,Full,42916,ASM221188v1,National Yang Ming University,GCA_002211885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/885/GCF_002211885.1_ASM221188v1,,
GCF_000023085.1,PRJNA224116,SAMN02603864,,na,644042,1590,Lactobacillus plantarum JDM1,strain=JDM1,,latest,Complete Genome,Major,Full,40011,ASM2308v1,Shanghai Jiao Tong University School of Medicine,GCA_000023085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/085/GCF_000023085.1_ASM2308v1,,
GCF_000148815.2,PRJNA224116,SAMN02603896,,na,889932,1590,Lactobacillus plantarum subsp. plantarum ST-III,strain=ST-III,,latest,Complete Genome,Major,Full,40753,ASM14881v1,"Technology Center of Bright Dairy & Food Co., Ltd",GCA_000148815.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/815/GCF_000148815.2_ASM14881v1,,
GCF_000203855.3,PRJNA62911,SAMEA3138345,,reference genome,220668,1590,Lactobacillus plantarum WCFS1,strain=WCFS1,NCIMB8826,latest,Complete Genome,Major,Full,40756,ASM20385v3,Wageningen Centre for Food Sciences,GCA_000203855.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/855/GCF_000203855.3_ASM20385v3,,
GCF_000338115.2,PRJNA224116,SAMN02604341,,na,1284663,1590,Lactobacillus plantarum ZJ316,strain=ZJ316,,latest,Complete Genome,Major,Full,41486,ASM33811v2,Zhejiang Gongshang University,GCA_000338115.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/115/GCF_000338115.2_ASM33811v2,,
GCF_000392485.3,PRJNA224116,SAMN02603936,,na,767468,1590,Lactobacillus plantarum subsp. plantarum P-8,strain=plantarum,,latest,Complete Genome,Minor,Full,42027,ASM39248v2,"The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China",GCA_000392485.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/485/GCF_000392485.3_ASM39248v2,,
GCF_000412205.1,PRJNA224116,SAMN02604115,,na,1327988,1590,Lactobacillus plantarum 16,strain=16,,latest,Complete Genome,Major,Full,41443,ASM41220v1,University College Cork,GCA_000412205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/205/GCF_000412205.1_ASM41220v1,,
GCF_000604105.1,PRJNA224116,SAMN05771125,,na,1300221,1590,Lactobacillus plantarum DOMLa,strain=DOMLa,,latest,Complete Genome,Major,Full,41726,ASM60410v1,"State Key Laboratory for Infectious Disease Prevention and Control, National Institute for Communicable Disease Control and Prevention, China CDC",GCA_000604105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/604/105/GCF_000604105.1_ASM60410v1,,
GCF_000931425.1,PRJNA224116,SAMN03278695,,na,1590,1590,Lactobacillus plantarum,strain=B21,,latest,Complete Genome,Major,Full,42058,ASM93142v1,RMIT University,GCA_000931425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/425/GCF_000931425.1_ASM93142v1,,
GCF_001278015.1,PRJNA224116,SAMN02953961,,na,1590,1590,Lactobacillus plantarum,strain=5-2,,latest,Complete Genome,Major,Full,42249,ASM127801v1,Chinese National Human Genome Center at Shanghai,GCA_001278015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/015/GCF_001278015.1_ASM127801v1,,
GCF_001296095.1,PRJNA224116,SAMN03952027,,na,1590,1590,Lactobacillus plantarum,strain=ZS2058,,latest,Complete Genome,Major,Full,42269,ASM129609v1,Jiangnan University,GCA_001296095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/296/095/GCF_001296095.1_ASM129609v1,,
GCF_001302645.1,PRJNA224116,SAMN04038608,,na,1590,1590,Lactobacillus plantarum,strain=HFC8,Lactobacillus plantarum,latest,Complete Genome,Major,Full,42276,ASM130264v1,CSIR-Institute of Himalayan Bioresource Technology,GCA_001302645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/302/645/GCF_001302645.1_ASM130264v1,,
GCF_001484005.1,PRJNA224116,SAMN03854682,,na,1590,1590,Lactobacillus plantarum,strain=LZ95,,latest,Complete Genome,Major,Full,42373,ASM148400v1,ZHE JIANG GONG SHANG UNIVERSITY,GCA_001484005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/005/GCF_001484005.1_ASM148400v1,,
GCF_001581895.1,PRJNA224116,SAMN03734222,,na,1590,1590,Lactobacillus plantarum,strain=Zhang-LL,,latest,Complete Genome,Major,Full,42437,ASM158189v1,Beijing University of Agricultrue,GCA_001581895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/581/895/GCF_001581895.1_ASM158189v1,,
GCF_001596095.1,PRJNA224116,SAMN04517536,,na,1590,1590,Lactobacillus plantarum,strain=JBE245,,latest,Complete Genome,Major,Full,42451,ASM159609v1,Chonbuk National University,GCA_001596095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/095/GCF_001596095.1_ASM159609v1,,
GCF_001617525.1,PRJNA224116,SAMN04549363,,na,1590,1590,Lactobacillus plantarum,strain=CAUH2,,latest,Complete Genome,Major,Full,42468,ASM161752v1,China Agricultural University,GCA_001617525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/617/525/GCF_001617525.1_ASM161752v1,,
GCF_001659745.1,PRJNA224116,SAMN05177792,,na,1590,1590,Lactobacillus plantarum,strain=LZ206,,latest,Complete Genome,Major,Full,42529,ASM165974v1,Zhejiang Gongshang University,GCA_001659745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/659/745/GCF_001659745.1_ASM165974v1,,
GCF_001660025.1,PRJNA224116,SAMN05162523,,na,1590,1590,Lactobacillus plantarum,strain=LZ227,,latest,Complete Genome,Major,Full,42529,ASM166002v1,Zhejiang Gongshang University,GCA_001660025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/025/GCF_001660025.1_ASM166002v1,,
GCF_001672035.1,PRJNA224116,SAMN05162259,,na,1590,1590,Lactobacillus plantarum,strain=NCU116,,latest,Complete Genome,Major,Full,42541,ASM167203v1,Nanchang University,GCA_001672035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/672/035/GCF_001672035.1_ASM167203v1,,
GCF_001704315.1,PRJNA224116,SAMN04346869,,na,1590,1590,Lactobacillus plantarum,strain=KP,,latest,Complete Genome,Major,Full,42594,ASM170431v1,University of Alberta,GCA_001704315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/315/GCF_001704315.1_ASM170431v1,,
GCF_001704335.1,PRJNA224116,SAMN04346870,,na,1590,1590,Lactobacillus plantarum,strain=DF,,latest,Complete Genome,Major,Full,42594,ASM170433v1,University of Alberta,GCA_001704335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/335/GCF_001704335.1_ASM170433v1,,
GCF_001715615.1,PRJNA224116,SAMN04437173,,na,1590,1590,Lactobacillus plantarum,strain=LY-78,,latest,Complete Genome,Major,Full,42611,ASM171561v1,Heilongjiang Bayi Agricultural University,GCA_001715615.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/715/615/GCF_001715615.1_ASM171561v1,,
GCF_001874125.1,PRJNA224116,SAMN05966974,,na,1590,1590,Lactobacillus plantarum,strain=C410L1,,latest,Complete Genome,Major,Full,42684,ASM187412v1,Anhui University,GCA_001874125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/125/GCF_001874125.1_ASM187412v1,,
GCF_001880185.1,PRJNA224116,SAMN04251328,,na,1590,1590,Lactobacillus plantarum,strain=MF1298,,latest,Complete Genome,Major,Full,42691,ASM188018v1,Nofima,GCA_001880185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/880/185/GCF_001880185.1_ASM188018v1,,
GCF_001908455.1,PRJNA224116,SAMN06046789,,na,337330,1590,Lactobacillus plantarum subsp. plantarum,strain=TS12,,latest,Complete Genome,Major,Full,42723,ASM190845v1,University of Malaya,GCA_001908455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/455/GCF_001908455.1_ASM190845v1,,
GCF_001990145.1,PRJNA224116,SAMN05717715,,na,1590,1590,Lactobacillus plantarum,strain=RI-113,,latest,Complete Genome,Major,Full,42773,ASM199014v1,ETH Zurich,GCA_001990145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/990/145/GCF_001990145.1_ASM199014v1,,
GCF_002024845.1,PRJNA224116,SAMN06240352,,na,1590,1590,Lactobacillus plantarum,strain=CLP0611,,latest,Complete Genome,Major,Full,42804,ASM202484v1,Korea University,GCA_002024845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/845/GCF_002024845.1_ASM202484v1,,
GCF_002109405.1,PRJNA224116,SAMN06619691,,na,1590,1590,Lactobacillus plantarum,strain=JBE490,,latest,Complete Genome,Major,Full,42850,ASM210940v1,Chonbuk National University,GCA_002109405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/109/405/GCF_002109405.1_ASM210940v1,,
GCF_002109425.1,PRJNA224116,SAMN06756312,,na,1590,1590,Lactobacillus plantarum,strain=LP2,,latest,Complete Genome,Major,Full,42850,ASM210942v1,Hubei University of Technology,GCA_002109425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/109/425/GCF_002109425.1_ASM210942v1,,
GCF_002116955.1,PRJNA224116,SAMN06016049,,na,1590,1590,Lactobacillus plantarum,strain=BLS41,,latest,Complete Genome,Major,Full,42857,ASM211695v1,KOOKMIN UNIVERSITY,GCA_002116955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/955/GCF_002116955.1_ASM211695v1,,
GCF_002117245.1,PRJNA224116,SAMN05805044,,na,1590,1590,Lactobacillus plantarum,strain=TMW 1.25,,latest,Complete Genome,Major,Full,42857,ASM211724v1,Technische Universitaet Muenchen,GCA_002117245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/245/GCF_002117245.1_ASM211724v1,,
GCF_002117265.1,PRJNA224116,SAMN05805045,,na,1590,1590,Lactobacillus plantarum,strain=TMW 1.277,,latest,Complete Genome,Major,Full,42857,ASM211726v1,Technische Universitaet Muenchen,GCA_002117265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/265/GCF_002117265.1_ASM211726v1,,
GCF_002117285.1,PRJNA224116,SAMN05805046,,na,1590,1590,Lactobacillus plantarum,strain=TMW 1.708,,latest,Complete Genome,Major,Full,42857,ASM211728v1,Technische Universitaet Muenchen,GCA_002117285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/285/GCF_002117285.1_ASM211728v1,,
GCF_002117305.1,PRJNA224116,SAMN05805047,,na,1590,1590,Lactobacillus plantarum,strain=TMW 1.1623,,latest,Complete Genome,Major,Full,42857,ASM211730v1,Technische Universitaet Muenchen,GCA_002117305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/305/GCF_002117305.1_ASM211730v1,,
GCF_002173655.1,PRJNA224116,SAMN07125944,,na,1590,1590,Lactobacillus plantarum,strain=SRCM102022,,latest,Complete Genome,Major,Full,42892,ASM217365v1,Microbial Institiue for Fermentation Industry,GCA_002173655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/655/GCF_002173655.1_ASM217365v1,,
GCF_002174195.1,PRJNA224116,SAMN07167784,,na,337330,1590,Lactobacillus plantarum subsp. plantarum,,SRCM100434,latest,Complete Genome,Major,Full,42892,ASM217419v1,Microbial Institute for Fermentation Industry,GCA_002174195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/174/195/GCF_002174195.1_ASM217419v1,,
GCF_002205775.2,PRJNA224116,SAMN07248584,,na,1590,1590,Lactobacillus plantarum,strain=LPL-1,,latest,Complete Genome,Major,Full,42913,ASM220577v2,China Agricultural University,GCA_002205775.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/205/775/GCF_002205775.2_ASM220577v2,,
GCF_002220175.1,PRJNA224116,SAMN06855883,,na,1590,1590,Lactobacillus plantarum,strain=dm,,latest,Complete Genome,Major,Full,42933,ASM222017v1,Boston University,GCA_002220175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/175/GCF_002220175.1_ASM222017v1,,
GCF_002220815.1,PRJNA224116,SAMN06622701,,na,1590,1590,Lactobacillus plantarum,strain=GB-LP1,,latest,Complete Genome,Major,Full,42934,ASM222081v1,seoul national university,GCA_002220815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/815/GCF_002220815.1_ASM222081v1,,
GCF_000014425.1,PRJNA224116,SAMN02598542,,representative genome,324831,1596,Lactobacillus gasseri ATCC 33323 = JCM 1131,strain=ATCC 33323,,latest,Complete Genome,Major,Full,39003,ASM1442v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",GCA_000014425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/425/GCF_000014425.1_ASM1442v1,,assembly from type material
GCF_002158885.1,PRJNA224116,SAMN07160387,,na,1596,1596,Lactobacillus gasseri,strain=4M13,,latest,Complete Genome,Major,Full,42885,ASM215888v1,Wonkwang University,GCA_002158885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/885/GCF_002158885.1_ASM215888v1,,
GCF_000014525.1,PRJNA57985,SAMN02598528,,reference genome,321967,1597,Lactobacillus paracasei ATCC 334,strain=ATCC 334,,latest,Complete Genome,Major,Full,39003,ASM1452v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",GCA_000014525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/525/GCF_000014525.1_ASM1452v1,,
GCF_000155515.2,PRJNA224116,SAMN02463682,,na,537973,1597,Lactobacillus paracasei subsp. paracasei 8700:2,strain=8700:2,,latest,Complete Genome,Major,Full,41507,ASM15551v2,Broad Institute,GCA_000155515.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/515/GCF_000155515.2_ASM15551v2,,
GCF_000582665.1,PRJNA224116,SAMN03081525,,na,1446494,1597,Lactobacillus paracasei N1115,strain=N1115,,latest,Complete Genome,Major,Full,41684,ASM58266v1,"Shijiazhuang Junlebao Dairy Co., Ltd",GCA_000582665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/582/665/GCF_000582665.1_ASM58266v1,,
GCF_000829035.1,PRJNA224116,SAMD00010723,,representative genome,1226298,1597,Lactobacillus paracasei subsp. paracasei JCM 8130,strain=JCM 8130,,latest,Complete Genome,Major,Full,41500,ASM82903v1,Kyushu University,GCA_000829035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/035/GCF_000829035.1_ASM82903v1,,assembly from type material
GCF_001191565.1,PRJNA224116,SAMN03892742,,na,1597,1597,Lactobacillus paracasei,strain=CAUH35,,latest,Complete Genome,Major,Full,42219,ASM119156v1,China Agricultural University,GCA_001191565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/191/565/GCF_001191565.1_ASM119156v1,,
GCF_001244395.1,PRJNA224116,SAMN03853751,,na,1597,1597,Lactobacillus paracasei,strain=L9,,latest,Complete Genome,Major,Full,42221,ASM124439v1,China Agricultural University,GCA_001244395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/244/395/GCF_001244395.1_ASM124439v1,,
GCF_001514415.1,PRJNA224116,SAMN04378089,,na,1597,1597,Lactobacillus paracasei,strain=KL1,,latest,Complete Genome,Major,Full,42383,ASM151441v1,Beijing University of Agriculture,GCA_001514415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/415/GCF_001514415.1_ASM151441v1,,
GCF_002079285.1,PRJNA224116,SAMN04571918,,na,1597,1597,Lactobacillus paracasei,strain=IIA,,latest,Complete Genome,Major,Full,42830,ASM207928v1,Universiti Malaysia Sabah,GCA_002079285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/285/GCF_002079285.1_ASM207928v1,,
GCF_000010005.1,PRJNA224116,SAMD00060920,,na,557433,1598,Lactobacillus reuteri JCM 1112,strain=JCM 1112,,latest,Complete Genome,Major,Full,39553,ASM1000v1,Kitasato Institute for Life Sciences,GCA_000010005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/005/GCF_000010005.1_ASM1000v1,,assembly from type material
GCF_000016825.1,PRJNA224116,SAMN02598351,,representative genome,557436,1598,Lactobacillus reuteri DSM 20016,strain=DSM 20016,,latest,Complete Genome,Major,Full,39234,ASM1682v1,US DOE Joint Genome Institute,GCA_000016825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/825/GCF_000016825.1_ASM1682v1,,assembly from type material
GCF_000159455.2,PRJNA224116,SAMN00001494,,na,491077,1598,Lactobacillus reuteri SD2112,strain=SD2112,,latest,Complete Genome,Major,Full,40714,ASM15945v2,Baylor College of Medicine,GCA_000159455.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/455/GCF_000159455.2_ASM15945v2,,
GCF_000236455.2,PRJNA224116,SAMEA2272605,,na,927703,1598,Lactobacillus reuteri ATCC 53608,strain=ATCC 53608,,latest,Complete Genome,Major,Full,42325,ASM23645v2,"Norwich Research Park, The Genome Analysis Centre, Colney, Norwich NR4 7UH, UNITED KINGDOM",GCA_000236455.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/455/GCF_000236455.2_ASM23645v2,,
GCF_000410995.1,PRJNA224116,SAMN02603119,,na,1340495,1598,Lactobacillus reuteri I5007,strain=I5007,,latest,Complete Genome,Major,Full,41439,ASM41099v1,China Agricultural University,GCA_000410995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/410/995/GCF_000410995.1_ASM41099v1,,
GCF_000439275.1,PRJNA224116,SAMN02604178,,na,1358027,1598,Lactobacillus reuteri TD1,strain=TD1,,latest,Complete Genome,Major,Full,41478,ASM43927v1,University of Florida,GCA_000439275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/275/GCF_000439275.1_ASM43927v1,,
GCF_001046835.1,PRJNA224116,SAMN03382532,,na,1598,1598,Lactobacillus reuteri,strain=IRT,,latest,Complete Genome,Major,Full,42191,ASM104683v1,Institute for Basic Science (IBS) and Pohang University of Science and Technology (POSTECH),GCA_001046835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/835/GCF_001046835.1_ASM104683v1,,
GCF_001618905.1,PRJNA224116,SAMN03879966,,na,1598,1598,Lactobacillus reuteri,strain=ZLR003,,latest,Complete Genome,Major,Full,42472,ASM161890v1,Institute of Animal Husbandry and Veterinary Medicine,GCA_001618905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/905/GCF_001618905.1_ASM161890v1,,
GCF_001688685.2,PRJNA224116,SAMN04621617,,na,1598,1598,Lactobacillus reuteri,strain=I49,,latest,Complete Genome,Major,Full,42830,ASM168868v2,University of Bern,GCA_001688685.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/685/GCF_001688685.2_ASM168868v2,,
GCF_000026065.1,PRJNA224116,SAMEA3138223,,na,314315,1599,Lactobacillus sakei subsp. sakei 23K,strain=23K,,latest,Complete Genome,Major,Full,38658,ASM2606v1,Institut National de la Recherche Agronomique (INRA),GCA_000026065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/065/GCF_000026065.1_ASM2606v1,,
GCF_002224565.1,PRJNA224116,SAMN06473274,,representative genome,1599,1599,Lactobacillus sakei,strain=FAM18311,,latest,Complete Genome,Major,Full,42940,ASM222456v1,ETH Zurich,GCA_002224565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/224/565/GCF_002224565.1_ASM222456v1,,
GCF_001042405.1,PRJNA224116,SAMD00026530,,representative genome,1600,1600,Lactobacillus acetotolerans,strain=NBRC 13120,,latest,Complete Genome,Major,Full,42070,ASM104240v1,National Institute of Technology and Evaluation,GCA_001042405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/042/405/GCF_001042405.1_ASM104240v1,,
GCF_002240375.1,PRJNA224116,SAMN05504077,,representative genome,1601,1601,Lactobacillus agilis,strain=La3,,latest,Complete Genome,Major,Full,42950,ASM224037v1,Monash University,GCA_002240375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/375/GCF_002240375.1_ASM224037v1,,
GCF_001936335.1,PRJNA224116,SAMN06162176,,representative genome,1423721,1603,Lactobacillus amylophilus DSM 20533 = JCM 1125,strain=DSM 20533,,latest,Complete Genome,Major,Full,42740,ASM193633v1,Kyungpook National University,GCA_001936335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/335/GCF_001936335.1_ASM193633v1,,assembly from type material
GCF_000191545.1,PRJNA224116,SAMN02603487,,representative genome,1604,1604,Lactobacillus amylovorus,strain=30SC,,latest,Complete Genome,Major,Full,40609,ASM19154v1,Korea University,GCA_000191545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/545/GCF_000191545.1_ASM19154v1,,
GCF_000194115.1,PRJNA224116,SAMN02603307,,na,695562,1604,Lactobacillus amylovorus GRL1118,strain=GRL1118,,latest,Complete Genome,Major,Full,40631,ASM19411v1,"Helsinki University, Finland",GCA_000194115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/115/GCF_000194115.1_ASM19411v1,,
GCF_000010145.1,PRJNA224116,SAMD00060917,,representative genome,334390,1613,Lactobacillus fermentum IFO 3956,strain=IFO 3956,,latest,Complete Genome,Major,Full,39553,ASM1014v1,Kitasato Institute for Life Sciences,GCA_000010145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/145/GCF_000010145.1_ASM1014v1,,
GCF_000210515.1,PRJNA224116,SAMN02604100,,na,712938,1613,Lactobacillus fermentum CECT 5716,strain=CECT 5716,,latest,Complete Genome,Major,Full,40358,ASM21051v1,Universidad Complutense de Madrid,GCA_000210515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/515/GCF_000210515.1_ASM21051v1,,
GCF_000397165.1,PRJNA224116,SAMN02603935,,na,767453,1613,Lactobacillus fermentum F-6,strain=F-6,,latest,Complete Genome,Major,Full,41410,ASM39716v1,"The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China",GCA_000397165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/165/GCF_000397165.1_ASM39716v1,,
GCF_000466785.3,PRJNA224116,SAMN02314197,,na,1381124,1613,Lactobacillus fermentum 3872,strain=3872,,latest,Complete Genome,Major,Full,42172,ASM46678v3,Kingston University,GCA_000466785.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/785/GCF_000466785.3_ASM46678v3,,
GCF_001742205.1,PRJNA224116,SAMN05510874,,na,1613,1613,Lactobacillus fermentum,strain=NCC2970,,latest,Complete Genome,Major,Full,42635,ASM174220v1,Nestle Research Center,GCA_001742205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/742/205/GCF_001742205.1_ASM174220v1,,
GCF_001941785.1,PRJNA224116,SAMN06174220,,na,1613,1613,Lactobacillus fermentum,strain=SNUV175,,latest,Complete Genome,Major,Full,42745,ASM194178v1,"KoBioLabs, Inc.",GCA_001941785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/785/GCF_001941785.1_ASM194178v1,,
GCF_002119645.1,PRJNA224116,SAMN06703219,,na,1613,1613,Lactobacillus fermentum,strain=FTDC 8312,,latest,Complete Genome,Major,Full,42864,ASM211964v1,Universiti Sains Malaysia,GCA_002119645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/119/645/GCF_002119645.1_ASM211964v1,,
GCF_002192435.1,PRJNA224116,SAMN07192734,,na,1613,1613,Lactobacillus fermentum,strain=LAC FRN-92,,latest,Complete Genome,Major,Full,42899,ASM219243v1,Universita' degli Studi di Catania,GCA_002192435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/435/GCF_002192435.1_ASM219243v1,,
GCF_000224985.1,PRJNA224116,SAMN02603606,,representative genome,1069534,1623,Lactobacillus ruminis ATCC 27782,strain=ATCC 27782,,latest,Complete Genome,Major,Full,40787,ASM22498v1,"Microbiology Dept, University College Cork",GCA_000224985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/985/GCF_000224985.1_ASM22498v1,,
GCF_000008925.1,PRJNA58233,SAMN02604111,,reference genome,362948,1624,Lactobacillus salivarius UCC118,strain=UCC118,,latest,Complete Genome,Major,Full,38806,ASM892v1,University College Cork,GCA_000008925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/925/GCF_000008925.1_ASM892v1,,
GCF_000143435.1,PRJNA224116,SAMN02604101,,na,712961,1624,Lactobacillus salivarius CECT 5713,strain=CECT 5713,,latest,Complete Genome,Major,Full,40366,ASM14343v1,Universidad Complutense de Madrid,GCA_000143435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/435/GCF_000143435.1_ASM14343v1,,
